"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL"
"1","CoV","Species richness",4,4.999,2.166,4.075,17.262
"2","PmV","Species richness",11,11.899,1.462,11.097,19.355
"3","AstV","Species richness",4,6.997,4.339,4.373,28.073
"4","HV","Species richness",9,9,0.534,9,10.541
"5","AdV","Species richness",12,14.248,3.393,12.266,31.023
"6","PyV","Species richness",3,3,0.545,3,4.761
"7","BoV","Species richness",1,1,0.312,1,2.549
